"text","label"
"the medicare buy - in e11 plan e12 ran into senate e21 resistance e22","0"
"the e11 provinces e12 are divided into e21 counties e22 shahrestan and subdivided into districts bakhsh and sub - districts dehestan","12"
"financial e11 stress e12 is one of the main causes of e21 divorce e22","9"
"e11 newspapers e12 swap content via widgets with the help of the newsgator e21 service e22","6"
"the e11 women e12 that caused the e21 accident e22 was on the cell phone and ran thru the intersection without pausing on the median","9"
"the e11 transmitter e12 was discovered inside a bed settee e21 suite e22 on which he had been sitting","17"
"the kerala backwaters are a e11 chain e12 of brackish e21 lagoons e22 and lakes lying parallel to the arabian sea coast of kerala state in southern india","16"
"a st paul college e11 student e12 was released from e21 jail e22 wednesday night after his arrest tuesday in the alleged rape of another student on campus","13"
"e11 calluses e12 are caused by improperly fitting shoes or by a e21 skin abnormality e22","10"
"e11 adults e12 use e21 drugs e22 for this purpose","6"
"the e11 councilor e12 proposed assessing infinitival complements through e21 elicitation e22","6"
"as in the popular movie deep impact the action of the perseid e11 meteor shower e12 is caused by a e21 comet e22 in this case periodic comet swift - tuttle","10"
"the following information appeared in the e11 notes e12 to consolidated financial e21 statements e22 of some corporate annual reports","0"
"hiphop appropriates the symbols of a consumer society : oversized e11 diamond e12 e21 colliers e22 are worn","0"
"the e11 radiation e12 from the atomic e21 bomb explosion e22 is a typical acute radiation","10"
"the ride - on e11 boat e12 e21 tiller e22 was developed by engineers arnold s juliano and dr eulito u bautista","12"
"a neoplastic e11 recurrence e12 arose from an extensive e21 radiation e22 induced ulceration","10"
"he has a tattoo on his right arm and e11 scars e12 from e21 stitches e22 on his right elbow","10"
"whether your home includes a charm of finches a sute of bloodhounds or a e11 knob e12 of e21 toads e22 i think it is important to keep the numbers within reason","16"
"furthermore these ingo practitioners constructed a e11 discourse e12 around e21 participation e22 which distorted the real significance of participation","1"
"kelvin bought a e11 silver e12 e21 ring e22 which he was so happy with and he keeps wearing it now even though its abit too big haha","0"
"scientists are in the midst of an ongoing e11 debate e12 about the relative e21 value e22 of openness and collaboration in their profession","1"
"this cut blue and white striped cotton e11 dress e12 with red bands on the bodice was in a e21 trunk e22 of vintage barbie clothing","17"
"my major e11 disagreement e12 with lyons concerns the e21 causal part e22 of his theory","0"
"both his e11 feet e12 have been moving into the e21 ball e22","7"
"the scissors were in a small plastic soap container next to a bar of soap and the e11 box cutters e12 were in a e21 box e22 next to a bottle of after - shave lotion","17"
"a great e11 wing e12 of fluorite e21 dragons e22 the greatest concentration of the rather solitary dragons ever known joined the desperate battle with the blues and silvers against chaos","16"
"as a control e11 cowpea e12 was sealed in e21 double bags e22 without fumigant","7"
"the infectious bacterial disease e11 brucellosis e12 has been found in a beef e21 cow e22 in eastern idaho","0"
"as the anglo - norman force sustained but little loss in this battle their archers at the onset showered a hail of arrows upon the irish host who were not protected with mail armour and shot them down in hundreds before they could get to close quarters ; and then the charge of the heavy anglo - norman cavalry of mail - clad knights completed the havoc and e11 rout e12 of the undisciplined gaelic e21 hosts e22","0"
"the first incarnation of this series was set in the 1940s during world war ii when the e11 princess e12 left her native paradise e21 island e22 where amazon women had lived for centuries to help the american foil the nazis","13"
"cieply e11 story e12 makes a compelling e21 point e22 about modern - day studio economics","1"
"we poured the e11 milk e12 into the e21 pumpkin mixture e22","7"
"lawyers in detroit also worked overtime as several e11 lawsuits e12 ensued from angry and injured e21 fans e22","13"
"the continuing nigerian e11 outbreak e12 is the biggest ever caused by the e21 vaccine e22","10"
"our mercenary army has now degenerated into a godless e11 cabal e12 of mindless e21 killers e22 not unlike the soviets that were butchering civilians in afghanistan exactly as sadistically as we have","16"
"the e11 fire e12 inside wtc was caused by exploding e21 fuel e22","10"
"the e11 epithelium e12 from the knockout mouse bladder is migrating into the transplanted e21 matrix e22","7"
"the e11 staff e12 was removed from his e21 position e22","13"
"the e11 suffering e12 caused by the e21 terrorists e22 is the real torture","10"
"this e11 love e12 of nature gift has been reflected in e21 artworks e22 dating back more than a thousand years","2"
"the e11 court e12 decided the objection by making the instalment e21 order e22 as sought","4"
"in a poetic twist the e11 tsunami e12 triggered by the rock e21 band e22 forced many american jazz and blues singers to seek work in the united kingdom which is where anderson found a receptive audience in 1965","10"
"e11 leakage e12 and fire caused due to e21 corrosion e22 of bypass piping for recirculation gas at a fuel oil desulphurization unit","10"
"a team of students from virginia tech university have created a vehicle that allows vision impaired e11 drivers e12 to take control of the e21 wheel e22","6"
"bmw idrive 4 0 brings in a e11 horde e12 of new e21 features e22","16"
"the metal e11 ball e12 makes a ding ding ding e21 noise e22 when it swings back and hits the metal body of the lamp","9"
"it consists of an e11 ensemble e12 of e21 ladies e22 who are highly qualified to play various arabic musical instruments","16"
"it underscores the need for continued surveillance of nicotine delivery in e11 products e12 created by an unregulated e21 industry e22","3"
"unlike other fish grunion come out of the water completely to lay their eggs in the wet e11 sand e12 of the e21 beach e22","0"
"a large e11 marble e12 was dropped into the e21 bowl e22","7"
"historical view of the e11 damage e12 caused by the 1693 catania e21 earthquake e22 and the reconstruction activities","10"
"ai requested that the perpetrators be prosecuted to the fullest extent of the law that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the e11 suffering e12 caused by the responsible police e21 officers e22","10"
"the e11 findings e12 have been published in a special e21 section e22 of the academic journal archives of sexual behavior","0"
"an amtrak e11 passenger e12 who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the e21 train e22 and is being held in colorado","13"
"the e11 introduction e12 in the e21 book e22 is a summary of what is in the text","11"
"the second e11 simulation e12 was started from the uncomplexed x - ray e21 structure e22 after insertion of the ligand into the binding site","13"
"this e11 user e12 plays games on a portable e21 console e22","6"
"the ambitious eurasia e11 exhibition e12 arose from an e21 idea e22 by achille bonito oliva","13"
"the e11 driver e12 of the cement truck cleaned the loading chute on his truck with a truck - mounted water e21 hose e22 and began to pull away","6"
"the marshall plan also provided a way of gaining public acceptance in europe for the new deal format that the united states had successfully used before the war to end the e11 recession e12 triggered by the 1929 wall street e21 crash e22","10"
"in the corner there are several gate captains and a e11 legion e12 of wu e21 crossbowmen e22","16"
"once they grow there the e11 swelling e12 and inflammation caused by the e21 infection e22 closes off the sac causing it not to shed bacteria and protecting the bacteria inside from antibiotics and your body own immune cells","10"
"guitars are played acoustically ; the e11 tone e12 is produced by the e21 vibration e22 of the strings which is amplified by the body of the guitar which acts as a large hollow resonating chamber or they may rely on an amplifier that can electronically manipulate tone","10"
"flowers are reborn from the soil and the climate begins to warm all set to a e11 score e12 improvised by an e21 orchestra e22 of birds","0"
"he posted the e11 answers e12 to the e21 website e22","7"
"arcane subtlety reduced the threat caused by polymorph by 40 at max rank though the e11 threat e12 caused by the e21 spell e22 is minimal","10"
"a e11 programmer e12 uses a high level e21 language e22 to implement its algorithms","6"
"the beautiful hydrothermal features in the park geysers hot springs mud pots etc the uplift and subsidence and many of the e11 earthquakes e12 are caused by the e21 movements e22 of hydrothermal and or magmatic fluids","10"
"flowers are nice but do not last very long and the e11 fruit e12 in a fruit e21 basket e22 often goes bad","17"
"he decided to pad the e11 heel e12 of e21 shoes e22 with a shock absorbing insole or heel pad","11"
"from the scots lingle and french ligneul lignoul comes a e11 shoemaker e12 sewing e21 thread e22 waxed and bristled see waxed end","6"
"one e11 tablet e12 per quart was dropped into a e21 canteen e22 and made the water safe to drink","7"
"the tiny e11 image e12 of the renaissance master is hidden in a e21 carafe e22 of wine in his 1597 oil painting bacchus one of his most acclaimed works","17"
"then i swept up the dust which looked like sawdust and put it in a e11 plastic container e12 which was in a e21 cabinet e22 under the granite counter top","17"
"in the former method the e11 acetone e12 was distilled from an allraline e21 solution e22 after the excess oxidant had been destroyed with sodium","13"
"in this comprehensive e11 guide e12 over 850 e21 roses e22 are described illustrated and arranged by group","1"
"e11 chestnut e12 e21 flour e22 was more common than wheat flour in the italian alps a century ago","14"
"for us the term e11 artists e12 e21 book e22 simply means a book made by an artist ; a book made as a work of art rather than as a literary artifact","4"
"my parents bought her a e11 silver e12 e21 necklace e22 almost identical to the one pictured","0"
"forward e11 motion e12 of the vehicle through the air caused a e21 suction e22 on the road draft tube","9"
"paul friedrich guides us through a e11 babel e12 of e21 words e22 and worlds of the imagination ranging from his translations from five languages notably the russian of his literary studies to the poetry of the indian mexico of his anthropological field work to america writ large - - super highways a vermont farm father and child","0"
"the picture below shows a view chapel and west range of the inner e11 courtyard e12 of the e21 castle e22","11"
"i was attacked by a e11 flock e12 of e21 pigeons e22 today","16"
"that e11 decision e12 was also the subject of an unsuccessful e21 legal challenge e22","0"
"the exit temperature of an effluent e11 stream e12 from the low temperature steam reforming e21 reactor e22 is not higher than 600 c","13"
"individual e11 investors e12 moved into the e21 property e22","7"
"one of the trickiest e11 questions e12 to answer in an interview relates to e21 salary e22","1"
"this e11 tradition e12 has been narrated in prophet early e21 biographies e22","2"
"a e11 thief e12 who tried to steal the truck broke the igenition with e21 screwdriver e22","6"
"after the marian reforms the legion was notionally a e11 unit e12 of heavy e21 infantrymen e22 armed with just sword and pilum but even so it was normally fielded with attached auxiliary skirmishers and missile troops and incorporated a small cavalry unit","16"
"the prosecutors carried e11 guns e12 into the e21 court room e22","7"
"the e11 malfunctions e12 on monday caused e21 delays e22 for patrons waiting to check out or renew books at the branches and impeded access to personal accounts that allow users to renew or hold books online","9"
"e11 chemical weapons e12 have been dropped into the e21 lake e22","7"
"many other e11 dwarves e12 also hailed from this infamous e21 clan e22","13"
"the e11 nose e12 of a e21 bloodhound e22 is so good that evidence found by a bloodhound will hold up in matters involving the united states supreme court","11"
"global digital music sales grow as the music e11 industry e12 develops new business e21 models e22","4"
"the e11 devices e12 were manufactured at the e21 factory e22 in beaverton well into the 1980s when production was shifted elsewhere and portions of the factory sold","3"
"an expensive uniform and a strict ballot rendered it somewhat too exclusive in its character but in the end it answered its purpose by becoming practically a e11 muster e12 of the national e21 leaders e22 of the present and the future","16"
"the e11 train ride e12 from e21 station e22 to station is approximate 30 minutes","0"
"the archaeological site yields e11 relics e12 from long - forgotten e21 culture e22","13"
"a e11 maze e12 of interlocking e21 jurisdictions e22 and levels of government confronts average citizens in trying to solve even the simplest of problems","0"
"water e11 damage e12 from roof leaks plumbing leaks or flooding lead to the e21 growth e22 of molds","9"
"warm weather is here and with it comes the e11 scourge e12 of e21 mosquitoes e22","0"
"the e11 formation e12 of struvite e21 stones e22 is associated with the presence of urea - splitting bacteria most commonly proteus mirabilis but also klebsiella serratia providencia species","0"
"our army was successfully engaged during the day with strong rearguards of all arms on the petit morin river thereby materially assisting the progress of the french armies on our right and left against whom the e11 enemy e12 was making his greatest e21 efforts e22","0"
"so when william did cross the boyne on july 1st 1690 he had an army consisting of the e11 riffraff e12 of europe e21 mercenaries e22","16"
"the overall e11 geometry e12 of the heart was extracted from the intensity e21 data e22","13"
"the e11 discomfort e12 from the e21 injury e22 was now precluding him from his occupation which involved prolonged procedures in the standing position","10"
"flames of purple pink yellow and blue dance in the air as a e11 coven e12 of e21 sorcerers e22 call forth energies from within the empyrean","16"
"out of the early morning haze a e11 convoy e12 of articulated e21 lorries e22 pulls into the gashouder square","16"
"this book has transported e11 readers e12 into e21 ancient times e22","7"
"we always try to maintain the best e11 environment e12 for e21 programmers e22 starting with good salary and conducive working environment","0"
"indeed a green or black basalt heart e11 scarab e12 was found put inside the e21 body e22 in its place","17"
"the first e11 motorcycle e12 was manufactured in a small wood e21 building e22 with only one room","13"
"the e11 water e12 pushed to the coast resulted in e21 tides e22 as much as three feet above normal with waves of 5 - 10 feet atop these tides","9"
"the e11 chapters e12 in this book investigate e21 issues e22 and communities","1"
"he rescheduled the birthday e11 party e12 to the e21 next day e22","7"
"the e11 bacterial aerosol e12 was generated from an up - draft e21 nebulizer e22","4"
"e11 people e12 have travelled into e21 space e22 but not the deep ocean","7"
"for those of you who are unsure what afrikaans is it is a language which originated from the dutch which were the first settlers in south africa and the unique e11 language e12 was evolved from other e21 settlers e22 from malaya indonesia madagascar and west africa","13"
"e11 beaver e12 e21 dams e22 are created as a protection against predators such as coyotes wolves and bears and to provide easy access to food during winter","4"
"so the theme of the e11 play e12 has to do with e21 religion e22","1"
"there has been intense e11 debate e12 over the circles e21 origins e22","1"
"i have recently developed creases in my e11 ear e12 e21 lobes e22","12"
"manufacturing extra neutral e11 alcohol e12 which is the basic ingredient used for making e21 liquor e22 the commodity was largely used by companies making indian made foreign liquor imfl","14"
"initially the e11 user e12 calibrates the microscope with a fluorescence lifetime e21 standard e22 positioned at the sample plane","6"
"the e11 province e12 comprises the southeastern e21 part e22 of panay island with island - province of guimaras just across its coast","12"
"the e11 charge e12 is the source of an electric e21 field e22 which carries energy - the electrostatic self - energy","9"
"the e11 tardiness e12 however has been caused by the e21 arrival e22 of my old man ; who in true bloodworth fashion has had me walking everywhere","10"
"the e11 key e12 was in a e21 chest e22","17"
"the e11 residue e12 was distilled from an arbuzov e21 flask e22","13"
"as the gondorians moved forward the evil force started to withdraw unleashing a e11 rain e12 of deadly e21 arrows e22 into the heavily armoured gondorians","16"
"it is a medieval latin e11 manuscript e12 relating the early e21 history e22 of the isle of man","1"
"the river had now turned into full e11 flood e12 after the e21 deluge e22 of rain a few days ago","10"
"he stopped rowing when the boat was opposite to the paddle wheel of the steamer and the e11 steamer e12 stopped her e21 engine e22 at the same time","12"
"this is the e11 umbrella e12 that peels the potatoes with a e21 pencil e22 and makes a pink ink with the peelings stood up","6"
"this american - style e11 wheat e12 e21 ale e22 is a light unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass","14"
"the e11 car e12 left the e21 plant e22","13"
"our experience extends to 15 years continued promotion of this e11 archipelago e12 of nine e21 islands e22","12"
"to separate the solids at the end of the experiment the e11 clay e12 was contained in a semi - permeable e21 membrane tubing e22","17"
"this machine is blowing e11 sand e12 into e21 molds e22","7"
"the e11 cultivation e12 consisted of plowing the crop with a double - shovel e21 plow e22","0"
"the final e11 chapter e12 offers a e21 theological survey e22 of the use of the formula","1"
"she mentioned the e11 scandal e12 caused by a bbc e21 documentary e22 on the treatment of children in a special - needs home and asked how the state had responded to these","10"
"isolated fractures of the e11 shaft e12 of the e21 ulna e22 without other fractures often result when the forearm is raised to fend off a blow","11"
"we have placed the e11 candidates e12 into e21 roles e22","0"
"frequent agitations throw academic e11 life e12 into e21 disarray e22","0"
"still other examples of the e11 potter e12 e21 ceramics e22 are clad in slinky assortments of tassels and beads","4"
"the e11 nasal cavity e12 of e21 birds e22 contains turbinates bang 1971 cartilaginous structures that are thought to have as one of their functions water recovery from air","11"
"thus in simple words a e11 tendon e12 attaches a e21 muscle e22 to a bone","0"
"e11 positions e12 were denoted by e21 black dots e22 along the tracks the adjacent numbers indicating the day of the month","0"
"the world health organization who found that the e11 radiation e12 release from the chernobyl e21 accident e22 was 200 times that of the hiroshima and nagasaki","10"
"my dog ate a e11 cellophane bag e12 full of e21 dog treats e22 on tuesday","18"
"the e11 owl e12 held the mouse in its e21 claw e22","12"
"this is how grain was delivered to the wooden grain bins and e11 hay e12 was put inside the upper part of the rock e21 barn e22","7"
"police foiled an attempt to kill an e11 artist e12 who drew a e21 cartoon e22 depicting the prophet muhammad that sparked outrage in the muslim world","4"
"when woody harrelson received a copy of the screenplay for zombieland last year he stuffed the e11 paper e12 into his duffel e21 bag e22 of unread scripts and promptly forgot about it","7"
"the city is a e11 treasure trove e12 of terrific e21 libraries e22 interesting museums and wonderful victorian architecture complemented by the incomparable work of scotland greatest architect charles rennie mackintosh","16"
"we leave the e11 bail e12 of the e21 reel e22 open and place your the rod in a double mounted set up as shown on the facing page","11"
"the mapungubwe collection at the university of pretoria features remarkable e11 works e12 from the largely forgotten e21 kingdom e22 of mapungubwe that flourished near the confluence of the limpopo and shashe rivers between 1000 and 1300 ad","13"
"also in the midst of the e11 confusion e12 caused by the e21 coup e22 the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion","10"
"the title is taken from an 1813 e11 book e12 by a virginia e21 planter e22 and senator named john taylor","3"
"in the same way a e11 society e12 is built up of many e21 individuals e22","16"
"the e11 scientist e12 approached the big cat with a e21 notepad e22 and a pencil in her hands","6"
"the bottom e11 photo e12 is from the new york public e21 library e22","13"
"the e11 accident e12 caused a major traffic e21 snarl e22 on the arterial road","9"
"two plane crash survivors have paid a special visit to the hutt hospital e11 surgeon e12 whose e21 team e22 helped to re - build their shattered faces eight years ago","0"
"the e11 dress e12 was in a e21 trunk e22 dated summer of 1938 along with several other dresses from this same period","17"
"the various forms of idealistic materialistic and agnostic philosophies are subject to the e11 tension e12 caused by the indicated e21 situation e22","10"
"from him cain learns that alexis had survived his suicide and became the e11 leader e12 of that e21 organization e22 renaming it delilah","15"
"james hagler venice e11 director e12 of historical resources has completed a picture e21 book e22 of the area buildings","4"
"a program has fetched e11 data e12 into host variable e21 arrays e22","7"
"recently only insignificant e11 things e12 arrive to e21 theatres e22","7"
"tissue damage and e11 electrode e12 e21 corrosion e22 are both associatcd with high charge density stimulation","0"
"two of walters fingers are inside the e11 koala e12 e21 pouch e22","12"
"in a former residence your writer had an atrium containing a e11 duel e12 of doves e21 moles e22 numbering 22","16"
"to stand up to the wind e11 umbrella e12 e21 frames e22 are strong yet flexible","12"
"e11 contractions e12 of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by e21 irritation e22 anywhere along the length of the nerve","10"
"a 15 minute e11 plane e12 drive from e21 runway e22 to terminal is uncommon","13"
"the geometric e11 skeleton e12 is derived from a static e21 object e22 using an implicit would irections method","13"
"the e11 filmmakers e12 dug a large e21 hole e22 in the ground for the scene where the narnians cause the pillars supporting the growth near aslan how to collapse on the telmarines","4"
"it is a monthly e11 report e12 providing e21 opinion e22 and advice on current united states government contract issues","1"
"e11 governments e12 frightened of losing votes resolved the crisis through e21 subsidization e22","6"
"for christmas daniel gave kelly a tiffany bracelet and for valentine day he bought a e11 diamond e12 e21 necklace e22","0"
"we also passed a e11 wake e12 of turkey e21 buzzards e22 and i was again glad to not be driving because my car and i both have shaky nerves still from the great turkey buzzard incident of 08","16"
"plantar e11 warts e12 are caused by a e21 virus e22 that infects the outer layer of skin on the soles of the feet","10"
"the e11 sensor e12 was manufactured in a cost effective thin film e21 process e22","0"
"the putative left we see is just as eager as the nominal right to brand crime and violence with any hint of political motivation as terrorism and therefore to remove it from the ordinary processes of criminal law and sanction which are already quite draconian in these united states and to animate parallel systems of harsher surveillance and punishment for the political e11 compeers e12 of such e21 criminals e22","0"
"the e11 list e12 of the 10 most beautiful women posted on the official web site of the 2009 australian open was filled with sleek thin e21 images e22","12"
"the e11 rope e12 of the e21 prayer - bell e22 was there in a perfect state and coiled up","11"
"one man pours on a liquid while the other e11 man e12 stirs the mixture with a wooden e21 paddle e22 or spatula","6"
"besides the chinese case also challenges some ideas of rss theory including the concept of e11 alliance e12 of different social e21 classes e22 and the role of working class in democratization","16"
"as the us and colombian military put pressure on drug traffickers e11 operations e12 are migrating into e21 nearby countries e22","7"
"a conical e11 cover e12 preserved in a e21 ewer e22 in athens accords extremely well with the form of these vessels","17"
"the front of the boring e11 machine e12 contains tungsten - tipped e21 picks e22 that workers guide with the use of laser projections on video screens","12"
"they incorporated the e11 immigrant flows e12 into e21 microsimulation e22","7"
"i have always felt so relieved that roy and the e11 boys e12 had left the e21 creek e22","13"
"the first e11 report e12 analyses the adaptation e21 strategies e22 of the eu member states","1"
"cook discoveries prepared the way for establishment of a new penal e11 colony e12 by the colonial e21 power e22","3"
"this process passes on a health e11 gene e12 to the next e21 generation e22","0"
"a e11 telescope e12 assists the e21 eye e22 chiefly in two ways","5"
"the e11 boy e12 accidentally went into the girl e21 bathroom e22","7"
"the e11 document e12 is stored in the proper e21 folder e22 as a text","17"
"unfortunately they just had brief mentions and more e11 pages e12 were spent describing the clubs e21 scene e22","1"
"the map to the left shows a snapshot of e11 weather e12 e21 conditions e22 in selected towns across italy","0"
"i reflected on this while passing a e11 passel e12 of e21 pigeons e22 parading on a loop sidewalk the other day","16"
"the retailers poured e11 resources e12 into promoting low - alcohol e21 wine e22","0"
"fiscus was the treasury of the roman emperor so - called because the e11 money e12 was stored in e21 baskets e22","17"
"hundreds of toxic e11 chemicals e12 were released into the e21 atmosphere e22","7"
"the final e11 part e12 of the court is completed by the e21 chapel e22 begun by mary i in 1554 in memory of her father","0"
"e11 mobile e12 lost in the ocean was found in a cod e21 belly e22","17"
"the e11 flyer e12 advertised a two - week e21 workshop e22 being conducted at the university this summer","1"
"the e11 hotel e12 arose from the e21 reconstruction e22 of historical building","0"
"this revised e11 edition e12 incorporates new research e21 findings e22 and advances in the treatment of genetic disorders including gene - directed therapies","1"
"e11 fish e12 swim in a e21 shoal e22 but they fall one by one","15"
"all e11 bookmarks e12 have been exported to a single e21 file e22","7"
"the e11 team e12 used the newly - developed e21 nanoparticle e22 to build therapies for treating individuals with cardiovascular disease","6"
"tobia made a stunning e11 revelation e12 in a e21 phone call e22 in september 2002","2"
"it was also home to a bale of snapping turtles and a e11 siege e12 of great blue e21 herons e22","16"
"the e11 indenter e12 is pushed into the e21 material e22 and both the load and displacement increase","7"
"the latest e11 issue e12 of five bells has been sent to poet union e21 members e22","7"
"e11 cruisers e12 and large yachts have much more sophisticated e21 fittings e22 that that require more skills","12"
"the e11 accused e12 killed the victim with a e21 kirpan e22 and separated the head from the body and threw it in a canal near nabha","6"
"there are enough gills there to serve the oxygen demands of an entire e11 shiver e12 of whale e21 sharks e22","16"
"the inhabitants send messages to each other by placing the message in a capsule and placing the e11 capsule e12 in a message e21 tube e22","7"
"the finished e11 doll e12 was made with e21 stockings e22 for the face and a baby sock for the body","12"
"it is the document repository of extremely valuable archival e11 documents e12 illustrating the e21 history e22 of the spanish empire","1"
"this all around immature nice guy is above all a e11 choreographer e12 having devised the e21 moves e22 to the film adaptation of hairspray","0"
"the e11 state e12 has assembled a 230 million incentive e21 package e22 to lure the project which could mean as many as 9000 jobs","0"
"when you strike someone with a e11 bottle e12 full of e21 carbonated beverage e22 apparently a vacuum is created and then quickly refills which is somehow capable of breaking the glass","18"
"welding e11 wire e12 is coiled in a e21 pail e22 and used as an electrode in an automatic or semiautomatic welding operation","17"
"the stong e11 earthquake e12 caused a e21 blackout e22 on the sound stage and short - circuited some of the neon - tubed violins","9"
"various e11 configurations e12 have been illustrated in the e21 drawings e22","2"
"avci was the e11 head e12 of the chief of the e21 police e22 in diyarbakir between 1984 and 1992","15"
"the e11 series e12 comprises some re - issues of the previous books as well as new e21 titles e22","12"
"the agitating e11 students e12 also put up a e21 barricade e22 on the dhaka - mymensingh highway disrupting vehicular movement for about two hours from 10 : 30am to 12 : 30pm","4"
"the e11 solution e12 comprises the e21 creation e22 of a decentralized internet host name resolution system with flat hierarchy on the basis of metrized small world data structure","0"
"tension release by mega food contains sensoril a clinically studied extract of a ashwagandha that helps to inhibit fatigue and physical e11 tension e12 from everyday e21 stress e22","10"
"with an innate desire to know and to do mankind has progressed past placing a dead fish in every e11 hill e12 of e21 corn e22 beans and squash","0"
"mayans charted venus motion across the sky poured e11 chocolate e12 into e21 jars e22 and interred them with the dead","7"
"the e11 elephant e12 descended from an aquatic e21 animal e22","13"
"a special e11 meeting e12 of the e21 shareholders e22 of lydia diamond was held on december 23rd 2009 and the sale was approved by the shareholders","0"
"he inserted a e11 needle e12 into the tattoo e21 machine e22","7"
"the aim of this study therefore was to examine the embryo e11 quality e12 obtained from vitrified warmed e21 oocytes e22 in a standard infertility population","0"
"the e11 letter e12 was sent from group to e21 group e22 of the dispersed believers to try and build them up to encourage them to fill them with hope","7"
"e11 cardiovascular disease e12 is one of the leading causes of e21 morbidity e22 and mortality in the uk as well as in the developed and the developing world","9"
"the level surface closest to the mss known as the e11 geoid e12 departs from an e21 ellipsoid e22 by about 100 m in each direction","0"
"after soaking them overnight we slipped the e11 beans e12 into a fairly wide - necked wine e21 flask e22 that is been peeled of its straw wrapper","7"
"e11 dizziness e12 from nasal and e21 sinus pressure e22 usually can be seen on a good nasal examination and a ct of the sinuses","10"
"students actually benefit from e11 study e12 through an sts e21 approach e22","6"
"in the 2006 campaign the e11 governor e12 won the hispanic vote with e21 appearances e22 such as one at casa de maryland","0"
"the e11 bomb e12 was hidden in a e21 handcart e22 near the mar toma church also known as church of st thomas in the city of mosul","17"
"she does however remember walking through campus when a chipper salesman gave her a e11 fistful e12 of bright orange e21 coupons e22 offering her and her friends complimentary slices of pizza","16"
"i have imported an audio e11 book e12 into the e21 software e22","7"
